DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2019,4.89,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2020,4.87,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2021,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2011,3.98,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2012,3.94,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2013,4.01,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2014,4.12,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2015,4.08,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2016,4.06,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2017,4.08,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2018,4.11,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2019,4.09,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2020,4.00,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DK,2021,3.93,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2011,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2012,4.97,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2013,5.04,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2014,5.22,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2015,5.16,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2016,5.15,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2017,5.05,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2018,5.07,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2019,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2020,4.93,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA,2021,5.02,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2011,5.00,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2012,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2013,5.05,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2014,5.23,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2015,5.16,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EA19,2016,5.15,
