DATAFLOW,LAST UPDATE,freq,indic_cr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EE,2013,3023,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EE,2014,3034,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EE,2015,2823,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EE,2016,2864,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EE,2017,2723,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EE,2018,2584,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EE,2019,2487,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EE,2020,2366,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2008,11736,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2009,11364,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2010,12349,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2011,12479,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2012,12475,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2013,12693,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2014,11798,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2015,9611,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2016,9560,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2017,10011,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2018,10654,
ESTAT:CRIM_PRIS_CAP(1.0),08/06/22 11:00:00,A,PRIS_ACT_CAP,NR,EL,2019,10891,
