DATAFLOW,LAST UPDATE,freq,unit,spdeps,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2016,4367.57,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2017,4330.42,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2018,4348.86,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2019,4624.20,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2020,5811.10,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2009,2994.89,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2010,2987.67,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2011,2980.05,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2012,3004.80,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2013,2969.48,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2014,3015.99,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2015,3077.63,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2016,3152.07,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2017,3195.92,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2018,3293.00,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2019,3456.93,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CZ,2020,3833.51,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,DE,2009,9336.95,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,DE,2010,9416.26,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,DE,2011,9497.41,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,DE,2012,9565.43,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,DE,2013,9718.33,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,DE,2014,9902.41,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,DE,2015,10178.62,
